run,gen,nevals,bestId,bestPos,bestError,Eo,env
1,1,100,77,"[20.0, 81.0, -95.0, 41.0, 6.0, 12.0, -25.0, 35.0, 57.0, 9.0, 5.0, -4.0, 30.0, -28.0, -10.0, -32.0, 95.0, -5.0, 7.0, -72.0]",40159.0,0,0
1,2,200,51,"[80.0, -11.0, 13.0, -36.0, 43.0, 5.0, 24.0, -1.0, 45.0, 1.0, -72.0, 27.0, -8.2521, 75.0, -44.7344, 6.0, -27.0, -87.0, -56.4497, -31.0]",38551.83,0,0
1,3,300,66,"[8.0, -19.0, -34.0, 25.0, -30.0, -17.0, -20.0, -9.4342, 45.0, 1.0, -72.0, 27.0, -7.9114, 75.0, -39.0, 6.0, -26.7189, -87.0, -56.0, -31.0]",31447.494,0,0
1,4,400,66,"[8.0, -19.0, -34.0, 25.0, -30.0, -17.0, -20.0, -9.4342, 45.0, 1.0, -72.0, 27.0, -7.9114, 75.0, -39.0, 6.0, -26.7189, -87.0, -56.0, -31.0]",31447.494,0,0
1,5,500,83,"[-3.1873, -56.0, 13.0, -36.0, 43.0, 5.0, 24.0, -4.0, 13.0, -58.0, -10.6476, 72.0, 17.0, 69.0, -34.2682, 46.0, 21.0, 45.0, 4.6619, 0.0]",26735.571,0,0
1,6,600,75,"[-10.0, -32.1285, -39.6853, 17.0, -54.0, 16.2628, 53.0, 15.6296, 53.0, -58.0, -1.0, -16.8801, 8.0, -56.9487, -15.0, -36.4042, 24.0, -19.0, 58.3407, -36.0]",26182.921,0,0
1,7,700,57,"[-10.0, -33.0, -39.6853, 17.0, -51.4287, 19.0, 47.284, 16.0, 54.0226, -58.0288, -1.0, -19.0, 5.0, -66.0, -15.0, -40.0, 24.0, -16.3154, 56.0, -11.878]",25523.673,0,0
1,8,800,57,"[-10.0, -33.0, -39.6853, 17.0, -51.4287, 19.0, 47.284, 16.0, 54.0226, -58.0288, -1.0, -19.0, 5.0, -66.0, -15.0, -40.0, 24.0, -16.3154, 56.0, -11.878]",25523.673,0,0
1,9,900,68,"[-34.8574, -25.6699, -64.0, 15.417, -54.0, 18.3312, 53.0, 10.5927, 49.0152, -58.0, -1.0, -20.0306, 8.0, 53.8746, -47.8455, -18.0, -15.0331, 17.0, -18.0, 4.0]",24984.282,0,0
1,10,1000,81,"[-10.0, -25.0, -64.0, 17.0, -54.0, 19.0, 64.0509, 9.0167, -7.0, 53.7015, -64.0, -20.1417, 7.8153, 20.6157, 9.2748, -24.5472, -17.6395, 17.0, -9.0423, 4.0]",21877.944,0,0
1,11,1100,81,"[-10.0, -25.0, -64.0, 17.0, -54.0, 19.0, 64.0509, 9.0167, -7.0, 53.7015, -64.0, -20.1417, 7.8153, 20.6157, 9.2748, -24.5472, -17.6395, 17.0, -9.0423, 4.0]",21877.944,0,0
1,12,1200,50,"[-10.0, -25.0, -31.8477, 25.4705, 2.0, 7.7695, 53.0, 16.0, -7.0, 50.365, -65.4083, -21.0988, 0.6951, 20.6157, 9.2748, -27.0657, 24.0, -19.0, 58.3407, -35.8939]",19699.5,0,0
1,13,1300,50,"[-10.0, -25.0, -31.8477, 25.4705, 2.0, 7.7695, 53.0, 16.0, -7.0, 50.365, -65.4083, -21.0988, 0.6951, 20.6157, 9.2748, -27.0657, 24.0, -19.0, 58.3407, -35.8939]",19699.5,0,0
1,14,1400,38,"[-29.0, -31.1861, -64.0, 13.7917, 2.0, 26.8946, 53.0, 16.0, -7.0, 47.2189, 5.5515, -16.8801, 8.0132, 20.6157, 9.2748, -24.5472, 22.8518, -19.0, 58.3407, -35.8939]",19239.504,0,0
1,15,1500,99,"[-32.8886, -24.0251, -64.0, 15.7434, 2.0, 19.0, 53.0, 16.0, -7.0, 45.3433, 7.9975, -16.8801, 8.0132, 20.6157, 9.2748, -24.5472, 22.8518, -19.0, 58.3407, -35.8939]",18639.656,0,0
1,16,1600,78,"[-10.0, -25.0, -39.6853, 13.755, -51.104, 17.4693, 53.0, 14.557, -18.4282, -22.6919, -30.0, -21.0988, 8.7409, 20.6157, 2.5548, -22.6167, 24.0, -15.4773, 58.3407, -36.7127]",17212.964,0,0
1,17,1700,78,"[-10.0, -25.0, -39.6853, 13.755, -51.104, 17.4693, 53.0, 14.557, -18.4282, -22.6919, -30.0, -21.0988, 8.7409, 20.6157, 2.5548, -22.6167, 24.0, -15.4773, 58.3407, -36.7127]",17212.964,0,0
1,18,1800,78,"[-10.0, -25.0, -39.6853, 13.755, -51.104, 17.4693, 53.0, 14.557, -18.4282, -22.6919, -30.0, -21.0988, 8.7409, 20.6157, 2.5548, -22.6167, 24.0, -15.4773, 58.3407, -36.7127]",17212.964,0,0
1,19,1900,53,"[-10.241, -30.2662, -65.7547, 16.2412, 10.9124, 26.8946, 46.5286, 17.4307, -1.512, -47.9797, 4.1601, -16.8801, 5.704, 18.8553, 2.8243, -30.0629, 24.0, -15.4773, -13.1165, 4.0]",13829.503,0,0
1,20,2000,82,"[-10.0, -23.246, -40.558, 13.755, 2.3729, 26.8946, 48.8419, 17.9193, 0.3707, -58.0, 4.1549, -16.8801, 8.0132, 26.8928, 9.2748, -28.8161, 23.4594, 17.0, -13.1165, 4.0]",12307.658,0,0
1,21,2100,26,"[-10.0, -23.246, -40.558, 13.755, 2.3729, 26.8946, 43.6764, 7.8647, -0.0067, -53.2354, -25.258, -16.8801, 12.3313, 26.8928, 9.2748, -28.8161, 23.4594, 17.0, -13.1165, 4.0]",11748.935,0,0
1,22,2200,37,"[-9.8398, -23.246, -40.558, 13.755, -2.0257, 26.8946, 43.6764, 7.8647, -0.0067, -53.2354, -25.258, -16.8801, 13.0639, 20.0639, 9.2748, -28.8161, 23.4594, 17.0, -13.1165, 4.0]",11442.169,0,0
1,23,2300,100,"[-10.0, -18.2376, -40.558, 7.2776, 2.3729, 22.0691, 42.0762, 14.822, -0.0067, 50.365, 4.6094, -16.8801, 11.0106, 26.8928, 2.5373, -28.8161, 23.4594, -15.4773, -9.5709, 4.0]",10034.871,0,0
1,24,2400,27,"[-9.8398, -23.246, -40.558, 10.4372, -6.1851, 26.8946, 21.5097, 16.5432, -2.9829, 53.8929, 4.6094, -24.5354, 7.2879, 19.3452, 7.7241, -32.8086, 23.4594, 17.0, -13.1165, 4.0]",10016.383,0,0
1,25,2500,68,"[-10.0, -24.4796, -31.5474, 14.3824, 9.2585, 26.8946, 21.5097, 16.5432, -2.9829, 53.8929, 4.6094, -24.5354, 7.2879, 19.3452, 7.7241, -32.8086, 23.4594, 17.0, -11.8809, 4.0]",9543.216,0,0
1,26,2600,68,"[-10.0, -24.4796, -31.5474, 14.3824, 9.2585, 26.8946, 21.5097, 16.5432, -2.9829, 53.8929, 4.6094, -24.5354, 7.2879, 19.3452, 7.7241, -32.8086, 23.4594, 17.0, -11.8809, 4.0]",9543.216,0,0
1,27,2700,51,"[-10.0, -24.4796, -31.5474, 13.1679, -6.1851, 26.8946, 21.5097, 4.6478, -0.0067, -53.2354, -22.6294, -24.5354, 7.2879, 9.6944, 7.7241, -32.8086, 23.4594, 17.1944, -13.1165, 4.0]",9379.005,0,0
1,28,2800,29,"[-12.0679, -24.4796, -24.2505, 10.4372, -6.1851, 26.8946, 21.5097, 16.5432, -2.9829, 57.364, 4.6094, -24.5354, 7.2879, 9.6944, 13.1406, -32.8086, 22.9212, -15.4773, 3.3738, 4.0]",9051.07,0,0
1,29,2900,29,"[-12.0679, -24.4796, -24.2505, 10.4372, -6.1851, 26.8946, 21.5097, 16.5432, -2.9829, 57.364, 4.6094, -24.5354, 7.2879, 9.6944, 13.1406, -32.8086, 22.9212, -15.4773, 3.3738, 4.0]",9051.07,0,0
1,30,3000,59,"[-10.0, -24.4796, -23.9407, 10.4372, -6.1851, 26.8946, 21.5097, 20.9916, 4.0339, -53.2354, 12.6003, -18.586, 7.2879, 19.9275, 7.7241, -32.9619, 22.9212, 17.3792, -13.1165, 4.0]",9012.545,0,0
1,31,3100,33,"[2.0222, -24.4796, -31.5474, 10.8397, 0.3671, 20.773, 21.5097, 16.5432, 0.226, 52.4333, 4.6094, -24.5354, 7.2879, 20.4743, 12.312, -32.8086, 18.5132, 17.893, -13.1165, 3.1504]",8801.774,0,0
1,32,3200,59,"[-10.0, -24.4796, -26.7683, 10.4372, -5.109, 26.8946, 21.5097, 16.5432, -1.0563, -53.2354, 11.2584, -16.9124, 4.1099, 7.7766, 11.3258, -26.3076, 28.3956, -15.4773, 3.3738, 4.0]",8229.367,0,0
1,33,3300,62,"[-12.0679, -25.9249, -25.5573, 10.4372, -6.1851, 26.8946, 21.5097, 20.9916, -1.0563, -53.2354, 5.8065, -11.7005, 7.2879, 7.7766, 7.7241, -32.8086, 15.2007, -15.4773, 3.3738, 4.0]",7998.12,0,0
1,34,3400,62,"[-12.0679, -25.9249, -25.5573, 10.4372, -6.1851, 26.8946, 21.5097, 20.9916, -1.0563, -53.2354, 5.8065, -11.7005, 7.2879, 7.7766, 7.7241, -32.8086, 15.2007, -15.4773, 3.3738, 4.0]",7998.12,0,0
1,35,3500,87,"[-12.0679, -28.0811, -19.3775, 10.4372, 0.3175, 26.8946, 21.5097, 20.9916, -2.6719, -51.3745, 11.2584, -11.7005, 6.2302, 3.4895, 7.7241, -34.2266, 17.2777, 6.9614, -13.1165, 4.7641]",7779.305,0,0
1,36,3600,82,"[4.1852, -24.4796, -31.5474, 10.8397, 0.3671, 18.1454, 21.5097, 16.5432, -3.7496, -42.5789, 12.6003, -21.7154, 11.946, 9.6944, 13.1406, -27.9271, 32.4954, -12.3865, 3.3738, 4.0]",7678.631,0,0
1,37,3700,82,"[4.1852, -24.4796, -31.5474, 10.8397, 0.3671, 18.1454, 21.5097, 16.5432, -3.7496, -42.5789, 12.6003, -21.7154, 11.946, 9.6944, 13.1406, -27.9271, 32.4954, -12.3865, 3.3738, 4.0]",7678.631,0,0
