run,gen,nevals,bestId,bestPos,bestError,Eo,env
1,1,100,50,"[-17.0, -20.0, -1.0, 45.0, 1.0]",2716.0,0,0
1,2,200,46,"[10.0, -20.0, -1.0, 45.0, 1.0]",2527.0,0,0
1,3,300,38,"[-9.0, -20.171, -34.0, 25.0, 2.0]",2272.869,0,0
1,4,400,46,"[10.0, 31.0, -1.0, 25.0, 2.0]",1691.0,0,0
1,5,500,36,"[10.0, -20.0, 10.0, -8.3686, 1.0]",671.033,0,0
1,6,600,36,"[10.0, -20.0, 10.0, -8.3686, 1.0]",671.033,0,0
1,7,700,29,"[10.0, -20.0, 10.0, -5.0, 1.0]",626.0,0,0
1,8,800,22,"[-17.0, 6.0, -7.1386, -8.3686, -12.0]",589.993,0,0
1,9,900,89,"[10.0, 6.0, -7.1386, -8.3686, -12.0]",400.993,0,0
1,10,1000,89,"[10.0, 6.0, -7.1386, -8.3686, -12.0]",400.993,0,0
1,11,1100,47,"[-14.5387, 6.0, -7.1386, 8.837, 0.609]",376.797,0,0
1,12,1200,63,"[4.8279, 6.0, -7.1386, -8.3686, 2.0]",184.302,0,0
1,13,1300,63,"[4.8279, 6.0, -7.1386, -8.3686, 2.0]",184.302,0,0
1,14,1400,63,"[4.8279, 6.0, -7.1386, -8.3686, 2.0]",184.302,0,0
1,15,1500,63,"[4.8279, 6.0, -7.1386, -8.3686, 2.0]",184.302,0,0
1,16,1600,63,"[4.8279, 6.0, -7.1386, -8.3686, 2.0]",184.302,0,0
1,17,1700,63,"[4.8279, 6.0, -7.1386, -8.3686, 2.0]",184.302,0,0
1,18,1800,63,"[4.8279, 6.0, -7.1386, -8.3686, 2.0]",184.302,0,0
1,19,1900,51,"[-8.202, 3.9482, -7.1386, -6.6743, 2.0549]",182.59,0,0
1,20,2000,92,"[-9.0, 2.1403, -5.5787, 4.458, 0.609]",136.948,0,0
1,21,2100,97,"[7.3065, -1.0, -3.6524, -2.5039, 2.0]",77.994,0,0
1,22,2200,37,"[-4.73, 6.0, -1.0, -2.5039, 0.715]",66.154,0,0
1,23,2300,49,"[0.2245, 4.3291, 0.6806, -1.5063, 2.0]",25.524,0,0
1,24,2400,49,"[0.2245, 4.3291, 0.6806, -1.5063, 2.0]",25.524,0,0
1,25,2500,49,"[0.2245, 4.3291, 0.6806, -1.5063, 2.0]",25.524,0,0
1,26,2600,49,"[0.2245, 4.3291, 0.6806, -1.5063, 2.0]",25.524,0,0
1,27,2700,49,"[0.2245, 4.3291, 0.6806, -1.5063, 2.0]",25.524,0,0
1,28,2800,49,"[0.2245, 4.3291, 0.6806, -1.5063, 2.0]",25.524,0,0
1,29,2900,49,"[0.2245, 4.3291, 0.6806, -1.5063, 2.0]",25.524,0,0
1,30,3000,95,"[-0.4295, -3.8541, 0.6806, 0.6892, 2.0]",19.977,0,0
1,31,3100,95,"[-0.4295, -3.8541, 0.6806, 0.6892, 2.0]",19.977,0,0
1,32,3200,36,"[0.8824, 0.5071, 1.3853, 2.4485, 2.0]",12.95,0,0
1,33,3300,54,"[0.8824, 0.5071, 1.3853, 1.2859, 2.0]",8.608,0,0
1,34,3400,54,"[0.8824, 0.5071, 1.3853, 1.2859, 2.0]",8.608,0,0
1,35,3500,54,"[0.8824, 0.5071, 1.3853, 1.2859, 2.0]",8.608,0,0
1,36,3600,65,"[0.0607, 0.5071, -1.4813, 0.9651, 2.0549]",7.609,0,0
1,37,3700,87,"[0.8824, 0.5071, 0.6806, 0.8195, -1.6639]",4.939,0,0
1,38,3800,87,"[0.8824, 0.5071, 0.6806, 0.8195, -1.6639]",4.939,0,0
1,39,3900,87,"[0.8824, 0.5071, 0.6806, 0.8195, -1.6639]",4.939,0,0
1,40,4000,87,"[0.8824, 0.5071, 0.6806, 0.8195, -1.6639]",4.939,0,0
1,41,4100,24,"[0.0607, 0.5071, 0.6806, 0.1403, -1.6639]",3.512,0,0
1,42,4200,24,"[0.0607, 0.5071, 0.6806, 0.1403, -1.6639]",3.512,0,0
1,43,4300,24,"[0.0607, 0.5071, 0.6806, 0.1403, -1.6639]",3.512,0,0
1,44,4400,24,"[0.0607, 0.5071, 0.6806, 0.1403, -1.6639]",3.512,0,0
1,45,4500,24,"[0.0607, 0.5071, 0.6806, 0.1403, -1.6639]",3.512,0,0
1,46,4600,24,"[0.0607, 0.5071, 0.6806, 0.1403, -1.6639]",3.512,0,0
1,47,4700,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,48,4800,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,49,4900,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,50,5000,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,51,5100,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,52,5200,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,53,5300,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,54,5400,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,55,5500,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,56,5600,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,57,5700,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,58,5800,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,59,5900,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,60,6000,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,61,6100,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,62,6200,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,63,6300,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,64,6400,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,65,6500,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,66,6600,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,67,6700,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,68,6800,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,69,6900,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,70,7000,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,71,7100,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,72,7200,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,73,7300,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,74,7400,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,75,7500,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,76,7600,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,77,7700,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,78,7800,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,79,7900,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,80,8000,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,81,8100,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,82,8200,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,83,8300,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,84,8400,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,85,8500,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,86,8600,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,87,8700,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,88,8800,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,89,8900,80,"[0.0607, 0.5071, 0.6806, 0.1403, 0.6307]",1.141,0,0
1,90,9000,51,"[-0.6703, 0.6306, -0.2042, -0.0052, 0.4338]",1.077,0,0
1,91,9100,51,"[-0.6703, 0.6306, -0.2042, -0.0052, 0.4338]",1.077,0,0
1,92,9200,51,"[-0.6703, 0.6306, -0.2042, -0.0052, 0.4338]",1.077,0,0
1,93,9300,51,"[-0.6703, 0.6306, -0.2042, -0.0052, 0.4338]",1.077,0,0
1,94,9400,51,"[-0.6703, 0.6306, -0.2042, -0.0052, 0.4338]",1.077,0,0
1,95,9500,51,"[-0.6703, 0.6306, -0.2042, -0.0052, 0.4338]",1.077,0,0
1,96,9600,51,"[-0.6703, 0.6306, -0.2042, -0.0052, 0.4338]",1.077,0,0
1,97,9700,51,"[-0.6703, 0.6306, -0.2042, -0.0052, 0.4338]",1.077,0,0
1,98,9800,51,"[-0.6703, 0.6306, -0.2042, -0.0052, 0.4338]",1.077,0,0
