run,gen,nevals,bestId,bestPos,bestError,Eo,env
1,1,100,100,"[18.0, 9.0]",1.831,0,0
1,2,200,2,"[18.2346, 8.6387]",1.815,0,0
1,3,300,2,"[18.2308, 9.4685]",1.815,0,0
1,4,400,2,"[19.3022, 8.2412]",1.815,0,0
1,5,500,2,"[17.6179, 7.9716]",1.815,0,0
1,6,600,2,"[17.8559, 9.2136]",1.815,0,0
1,7,700,2,"[17.4573, 8.9309]",1.815,0,0
1,8,800,2,"[17.6009, 7.9223]",1.815,0,0
1,9,900,2,"[18.4775, 8.3727]",1.815,0,0
1,10,1000,2,"[18.4466, 8.3216]",1.815,0,0
1,11,1100,2,"[18.4295, 9.578]",1.815,0,0
1,12,1200,2,"[18.0597, 7.7818]",1.815,0,0
1,13,1300,2,"[17.4834, 8.9094]",1.815,0,0
1,14,1400,2,"[19.1888, 7.8112]",1.815,0,0
1,15,1500,2,"[17.7321, 9.1088]",1.815,0,0
1,16,1600,2,"[17.7487, 9.7302]",1.815,0,0
1,17,1700,2,"[18.5448, 7.8221]",1.815,0,0
1,18,1800,2,"[19.0831, 9.2664]",1.815,0,0
1,19,1900,2,"[17.1766, 9.3449]",1.815,0,0
1,20,2000,2,"[18.1248, 8.4572]",1.815,0,0
