run,gen,nevals,bestId,bestPos,bestError,Eo,env
1,2,200,41,"[8.0, 3.0]",1.685,0,0
1,3,300,41,"[8.0, 3.0]",1.685,0,0
1,4,400,41,"[8.0, 3.0]",1.685,0,0
1,5,500,41,"[8.0, 3.0]",1.685,0,0
1,6,600,41,"[8.0, 3.0]",1.685,0,0
1,7,700,41,"[8.0, 3.0]",1.685,0,0
1,8,800,41,"[8.0, 3.0]",1.685,0,0
1,9,900,41,"[8.0, 3.0]",1.685,0,0
1,10,1000,41,"[8.0, 3.0]",1.685,0,0
1,11,1100,41,"[8.0, 3.0]",1.685,0,0
1,12,1200,41,"[8.0, 3.0]",1.685,0,0
1,13,1300,41,"[8.0, 3.0]",1.685,0,0
1,14,1400,41,"[8.0, 3.0]",1.685,0,0
1,15,1500,49,"[6.0, 10.0]",1.628,0,0
1,16,1600,49,"[6.0, 10.0]",1.628,0,0
1,17,1700,49,"[6.0, 10.0]",1.628,0,0
1,18,1800,49,"[6.0, 10.0]",1.628,0,0
1,19,1900,49,"[6.0, 10.0]",1.628,0,0
1,20,2000,49,"[6.0, 10.0]",1.628,0,0
1,21,2100,49,"[6.0, 10.0]",1.628,0,0
1,22,2200,49,"[6.0, 10.0]",1.628,0,0
1,23,2300,49,"[6.0, 10.0]",1.628,0,0
1,24,2400,49,"[6.0, 10.0]",1.628,0,0
1,25,2500,49,"[6.0, 10.0]",1.628,0,0
1,26,2600,49,"[6.0, 10.0]",1.628,0,0
1,27,2700,49,"[6.0, 10.0]",1.628,0,0
1,28,2800,49,"[6.0, 10.0]",1.628,0,0
1,29,2900,49,"[6.0, 10.0]",1.628,0,0
1,30,3000,49,"[6.0, 10.0]",1.628,0,0
1,31,3100,49,"[6.0, 10.0]",1.628,0,0
1,32,3200,49,"[6.0, 10.0]",1.628,0,0
1,33,3300,13,"[9.0, 5.4823]",1.61,0,0
1,34,3400,13,"[9.0, 5.4823]",1.61,0,0
1,35,3500,13,"[9.0, 5.4823]",1.61,0,0
1,36,3600,13,"[9.0, 5.4823]",1.61,0,0
1,37,3700,13,"[9.0, 5.4823]",1.61,0,0
1,38,3800,13,"[9.0, 5.4823]",1.61,0,0
1,39,3900,13,"[9.0, 5.4823]",1.61,0,0
1,40,4000,13,"[9.0, 5.4823]",1.61,0,0
1,41,4100,13,"[9.0, 5.4823]",1.61,0,0
1,42,4200,13,"[9.0, 5.4823]",1.61,0,0
1,43,4300,13,"[9.0, 5.4823]",1.61,0,0
1,44,4400,13,"[9.0, 5.4823]",1.61,0,0
1,45,4500,13,"[9.0, 5.4823]",1.61,0,0
1,46,4600,13,"[9.0, 5.4823]",1.61,0,0
1,47,4700,13,"[9.0, 5.4823]",1.61,0,0
1,48,4800,13,"[9.0, 5.4823]",1.61,0,0
1,49,4900,13,"[9.0, 5.4823]",1.61,0,0
1,50,5000,13,"[9.0, 5.4823]",1.61,0,0
1,51,5100,13,"[9.0, 5.4823]",1.61,0,0
1,52,5200,13,"[9.0, 5.4823]",1.61,0,0
1,53,5300,13,"[9.0, 5.4823]",1.61,0,0
1,54,5400,13,"[9.0, 5.4823]",1.61,0,0
1,55,5500,13,"[9.0, 5.4823]",1.61,0,0
1,56,5600,13,"[9.0, 5.4823]",1.61,0,0
1,57,5700,13,"[9.0, 5.4823]",1.61,0,0
1,58,5800,13,"[9.0, 5.4823]",1.61,0,0
1,59,5900,13,"[9.0, 5.4823]",1.61,0,0
1,60,6000,13,"[9.0, 5.4823]",1.61,0,0
1,61,6100,13,"[9.0, 5.4823]",1.61,0,0
1,62,6200,13,"[9.0, 5.4823]",1.61,0,0
1,63,6300,13,"[9.0, 5.4823]",1.61,0,0
1,64,6400,31,"[9.0, 10.0]",1.536,0,0
1,65,6500,31,"[9.0, 10.0]",1.536,0,0
1,66,6600,31,"[9.0, 10.0]",1.536,0,0
1,67,6700,31,"[9.0, 10.0]",1.536,0,0
1,68,6800,31,"[9.0, 10.0]",1.536,0,0
1,69,6900,31,"[9.0, 10.0]",1.536,0,0
1,70,7000,31,"[9.0, 10.0]",1.536,0,0
1,71,7100,31,"[9.0, 10.0]",1.536,0,0
1,72,7200,31,"[9.0, 10.0]",1.536,0,0
1,73,7300,31,"[9.0, 10.0]",1.536,0,0
1,74,7400,31,"[9.0, 10.0]",1.536,0,0
1,75,7500,31,"[9.0, 10.0]",1.536,0,0
1,76,7600,31,"[9.0, 10.0]",1.536,0,0
1,77,7700,31,"[9.0, 10.0]",1.536,0,0
1,78,7800,31,"[9.0, 10.0]",1.536,0,0
1,79,7900,31,"[9.0, 10.0]",1.536,0,0
1,80,8000,31,"[9.0, 10.0]",1.536,0,0
1,81,8100,31,"[9.0, 10.0]",1.536,0,0
1,82,8200,31,"[9.0, 10.0]",1.536,0,0
1,83,8300,31,"[9.0, 10.0]",1.536,0,0
1,84,8400,31,"[9.0, 10.0]",1.536,0,0
1,85,8500,31,"[9.0, 10.0]",1.536,0,0
1,86,8600,31,"[9.0, 10.0]",1.536,0,0
1,87,8700,31,"[9.0, 10.0]",1.536,0,0
1,88,8800,31,"[9.0, 10.0]",1.536,0,0
1,89,8900,31,"[9.0, 10.0]",1.536,0,0
1,90,9000,31,"[9.0, 10.0]",1.536,0,0
1,91,9100,31,"[9.0, 10.0]",1.536,0,0
1,92,9200,31,"[9.0, 10.0]",1.536,0,0
1,93,9300,31,"[9.0, 10.0]",1.536,0,0
1,94,9400,31,"[9.0, 10.0]",1.536,0,0
1,95,9500,31,"[9.0, 10.0]",1.536,0,0
1,96,9600,31,"[9.0, 10.0]",1.536,0,0
1,97,9700,31,"[9.0, 10.0]",1.536,0,0
