run,gen,nevals,bestId,bestPos,bestError,Eo,env
1,1,100,41,"[53.0, 97.0, 47.0]",12.629,0,0
1,2,200,41,"[53.0, 97.0, 47.0]",12.629,0,0
1,3,300,41,"[53.0, 97.0, 47.0]",12.629,0,0
1,4,400,41,"[53.0, 97.0, 47.0]",12.629,0,0
1,5,500,41,"[53.0, 97.0, 47.0]",12.629,0,0
1,6,600,41,"[53.0, 97.0, 47.0]",12.629,0,0
1,7,700,41,"[53.0, 97.0, 47.0]",12.629,0,0
1,8,800,41,"[53.0, 97.0, 47.0]",12.629,0,0
1,9,900,41,"[53.0, 97.0, 47.0]",12.629,0,0
1,10,1000,18,"[53.1364, 92.9609, 45.8316]",10.973,0,0
1,11,1100,18,"[53.1364, 92.9609, 45.8316]",10.973,0,0
1,12,1200,66,"[56.997, 94.2547, 44.2721]",5.792,0,0
1,13,1300,66,"[56.997, 94.2547, 44.2721]",5.792,0,0
1,14,1400,66,"[56.997, 94.2547, 44.2721]",5.792,0,0
1,15,1500,66,"[55.6205, 93.712, 45.462]",3.994,0,0
1,16,1600,66,"[55.6205, 93.712, 45.462]",3.994,0,0
1,17,1700,34,"[56.519, 94.818, 45.74]",1.107,0,0
1,18,1800,34,"[56.519, 94.818, 45.74]",1.107,0,0
1,19,1900,34,"[56.519, 94.818, 45.74]",1.107,0,0
1,20,2000,34,"[56.519, 94.818, 45.74]",1.107,0,0
1,21,2100,34,"[56.519, 94.818, 45.74]",1.107,0,0
1,22,2200,34,"[56.519, 94.818, 45.74]",1.107,0,0
1,23,2300,34,"[56.519, 94.818, 45.74]",1.107,0,0
1,24,2400,34,"[56.519, 94.818, 45.74]",1.107,0,0
1,25,2500,34,"[56.519, 94.818, 45.74]",1.107,0,0
1,26,2600,53,"[56.5532, 94.813, 45.8843]",0.886,0,0
1,27,2700,53,"[56.5532, 94.813, 45.8843]",0.886,0,0
1,28,2800,53,"[56.5532, 94.813, 45.8843]",0.886,0,0
1,29,2900,53,"[56.5532, 94.813, 45.8843]",0.886,0,0
