run,gen,nevals,bestId,bestPos,bestError,Eo,env
1,1,100,41,"[53.0, 97.0, 47.0]",12.629,0,0
1,2,201,41,"[53.0, 97.0, 47.0]",12.629,0,0
1,3,402,9,"[57.6639, 91.2927, 40.1385]",20.886,0,1
1,4,603,9,"[57.6639, 91.2927, 40.1385]",20.886,0,1
1,5,804,92,"[57.0008, 100.1475, 38.6825]",27.726,0,1
1,6,1005,53,"[58.169, 94.5422, 46.2309]",5.591,0,1
1,7,1106,91,"[55.0088, 94.6159, 45.9442]",4.015,0,1
1,8,1207,91,"[55.0088, 94.6159, 45.9442]",4.015,0,1
1,9,1308,91,"[55.0088, 94.6159, 45.9442]",4.015,0,1
1,10,1409,91,"[55.0088, 94.6159, 45.9442]",4.015,0,1
1,11,1610,92,"[56.717, 94.788, 46.3882]",1.636,0,2
1,12,1811,92,"[56.717, 94.788, 46.3882]",1.636,0,2
1,13,2012,84,"[56.0385, 94.1971, 46.8271]",2.964,0,2
1,14,2213,84,"[56.0385, 94.1971, 46.8271]",2.964,0,2
1,15,2314,84,"[56.0385, 94.1971, 46.8271]",2.964,0,2
1,16,2415,84,"[56.0385, 94.1971, 46.8271]",2.964,0,2
1,17,2516,84,"[56.0385, 94.1971, 46.8271]",2.964,0,2
1,18,2617,84,"[56.0385, 94.1971, 46.8271]",2.964,0,2
1,19,2718,40,"[55.8799, 94.915, 46.4149]",1.955,0,2
1,20,2819,40,"[55.8799, 94.915, 46.4149]",1.955,0,2
1,21,2920,40,"[55.8799, 94.915, 46.4149]",1.955,0,2
1,22,3021,40,"[55.8799, 94.915, 46.4149]",1.955,0,2
1,23,3122,40,"[55.8799, 94.915, 46.4149]",1.955,0,2
1,24,3223,40,"[55.8799, 94.915, 46.4149]",1.955,0,2
1,25,3324,59,"[56.0718, 94.5758, 45.9643]",0.865,0,2
1,26,3425,59,"[56.0718, 94.5758, 45.9643]",0.865,0,2
1,27,3526,59,"[56.0718, 94.5758, 45.9643]",0.865,0,2
1,28,3627,92,"[56.4237, 94.522, 46.058]",0.544,0,2
1,29,3728,92,"[56.4237, 94.522, 46.058]",0.544,0,2
1,30,3829,92,"[56.4237, 94.522, 46.058]",0.544,0,2
1,31,3930,92,"[56.4237, 94.522, 46.058]",0.544,0,2
1,32,4131,40,"[56.4151, 94.4697, 45.846]",0.85,0,3
1,33,4332,92,"[56.1444, 94.5755, 45.9155]",0.722,0,3
1,34,4533,92,"[56.1444, 94.5755, 45.9155]",0.722,0,3
1,35,4734,63,"[56.3507, 94.6145, 45.943]",0.303,0,3
1,36,4835,63,"[56.3507, 94.6145, 45.943]",0.303,0,3
1,37,4936,23,"[56.3287, 94.6729, 45.929]",0.282,0,3
1,38,5037,23,"[56.3287, 94.6729, 45.929]",0.282,0,3
1,39,5238,9,"[56.7414, 95.2599, 45.79]",6.967,0,4
1,40,5439,23,"[57.0393, 95.2432, 45.4243]",5.896,0,4
1,41,5640,23,"[57.0393, 95.2432, 45.4243]",5.896,0,4
1,42,5841,66,"[56.9879, 95.3769, 45.6491]",6.124,0,4
1,43,5942,66,"[56.9879, 95.3769, 45.6491]",6.124,0,4
1,44,6043,23,"[56.9806, 95.0839, 45.5781]",5.776,0,4
1,45,6144,23,"[56.9806, 95.0839, 45.5781]",5.776,0,4
1,46,6245,23,"[56.9806, 95.0839, 45.5781]",5.776,0,4
1,47,6346,23,"[56.9806, 95.0839, 45.5781]",5.776,0,4
1,48,6447,23,"[56.9806, 95.0839, 45.5781]",5.776,0,4
1,49,6548,23,"[56.9806, 95.0839, 45.5781]",5.776,0,4
1,50,6649,23,"[56.9806, 95.0839, 45.5781]",5.776,0,4
1,51,6850,58,"[57.1633, 95.071, 45.5147]",5.922,0,5
1,52,7051,67,"[57.0612, 95.2493, 45.6377]",5.521,0,5
1,53,7252,67,"[57.0612, 95.2493, 45.6377]",5.521,0,5
1,54,7453,36,"[57.0356, 95.3804, 45.5696]",6.022,0,5
1,55,7554,36,"[57.0356, 95.3804, 45.5696]",6.022,0,5
1,56,7655,82,"[56.9853, 95.2699, 45.4436]",5.945,0,5
